review_id,review_order,final_reviewer_decision,reviewer_confidence,reviewer_reason,manual_damage_area_boxes_xywhn,confirm_remove_all_damage_area
tactile3-da-final-001,1,fix_tactile_damage_area_bbox,medium,GT boxes cover real damage but are too broad and miss tight chips manual_bbox_required,,
tactile3-da-final-002,2,add_missing_tactile_damage_area,high,clear exposed concrete damage extends beyond current GT manual_bbox_required,,
tactile3-da-final-003,3,add_missing_tactile_damage_area,high,multiple seam chips visible outside current GT manual_bbox_required,,
tactile3-da-final-004,4,fix_tactile_damage_area_bbox,medium,current GT covers broad worn areas and needs tighter damage boxes manual_bbox_required,,
tactile3-da-final-005,5,add_missing_tactile_damage_area,high,multiple edge chips visible beyond current GT manual_bbox_required,,
tactile3-da-final-006,6,add_missing_tactile_damage_area,medium,similar worn raised-bar damage repeats outside GT manual_bbox_required,,
tactile3-da-final-007,7,fix_tactile_damage_area_bbox,medium,current GT includes non-damage around cracks and needs tighter boxes manual_bbox_required,,
tactile3-da-final-008,8,accept_existing_labels,medium,existing small GT damage labels are plausible and red boxes mostly follow seams or discoloration,,
tactile3-da-final-009,9,add_missing_tactile_damage_area,medium,additional small chips and gouges outside current GT manual_bbox_required,,
tactile3-da-final-010,10,fix_tactile_damage_area_bbox,medium,current GT boxes are over-broad around broken seams manual_bbox_required,,
tactile3-da-final-011,11,add_missing_tactile_damage_area,high,clear cracked and spalled areas missing outside GT manual_bbox_required,,
tactile3-da-final-012,12,add_missing_tactile_damage_area,high,several edge chips outside current GT manual_bbox_required,,
tactile3-da-final-013,13,add_missing_tactile_damage_area,medium,additional worn raised-bar damage areas visible outside GT manual_bbox_required,,
tactile3-da-final-014,14,add_missing_tactile_damage_area,medium,several small seam chips outside current GT manual_bbox_required,,
tactile3-da-final-015,15,add_missing_tactile_damage_area,high,multiple horizontal seam spalls outside current GT manual_bbox_required,,
tactile3-da-final-016,16,add_missing_tactile_damage_area,high,long broken seam damage is not fully covered by GT manual_bbox_required,,
tactile3-da-final-017,17,exclude_unclear,low,widespread staining and wear make true damage extent unclear,,
tactile3-da-final-018,18,add_missing_tactile_damage_area,high,clear exposed patch and cracks include unlabeled damage manual_bbox_required,,
tactile3-da-final-019,19,fix_tactile_damage_area_bbox,high,current GT covers overly broad block regions instead of tight cracks manual_bbox_required,,
tactile3-da-final-020,20,fix_tactile_damage_area_bbox,high,current GT surrounds the damage too broadly and should be tightened manual_bbox_required,,
tactile3-da-final-021,21,add_missing_tactile_damage_area,medium,side chip and wider seam damage are partly unlabeled manual_bbox_required,,
tactile3-da-final-022,22,add_missing_tactile_damage_area,high,large broken regions extend beyond current GT manual_bbox_required,,
tactile3-da-final-023,23,add_missing_tactile_damage_area,high,visible cracks and spalls outside GT require added labels manual_bbox_required,,
tactile3-da-final-024,24,add_missing_tactile_damage_area,medium,several horizontal seam chips outside current GT manual_bbox_required,,
tactile3-da-final-025,25,accept_existing_labels,high,clear chips and broken edges align with GT boxes,,
tactile3-da-final-026,26,exclude_unclear,low,heavy dirt and wear obscure whether boxed areas are true material damage,,
tactile3-da-final-027,27,remove_false_damage_area_label,high,boxed marks look like stains or tar spots not broken tactile material,,yes
tactile3-da-final-028,28,accept_existing_labels,medium,edge chips and seam loss match the three GT boxes,,
tactile3-da-final-029,29,exclude_unclear,medium,nonstandard worn paver surface makes boxed marks hard to separate from seams and stains,,
tactile3-da-final-030,30,remove_false_damage_area_label,medium,boxes mostly cover discoloration weeds or broad worn patch rather than broken tactile material,,yes
tactile3-da-final-031,31,remove_false_damage_area_label,high,boxes mark stains and worn ridges without clear chips or cracks,,yes
tactile3-da-final-032,32,accept_existing_labels,medium,boxes align with small edge chips and the broken horizontal seam,,
tactile3-da-final-033,33,accept_existing_labels,medium,boxed scratches and small chips are visible though subtle,,
tactile3-da-final-034,34,accept_existing_labels,medium,side edge and seam chip labels are plausible,,
tactile3-da-final-035,35,remove_false_damage_area_label,high,boxes cover intact worn surface and dark stain rather than damage,,yes
tactile3-da-final-036,36,remove_false_damage_area_label,high,boxes align with stains and abrasion not material loss,,yes
tactile3-da-final-037,37,fix_tactile_damage_area_bbox,medium,true damaged tile exists but extra GT boxes are broad over seam dirt and edge wear manual_bbox_required,,
tactile3-da-final-038,38,remove_false_damage_area_label,high,boxes mark dirt debris and stained grooves instead of broken tactile material,,yes
tactile3-da-final-039,39,remove_false_damage_area_label,high,boxed marks look like small stains or worn spots with no clear material break,,yes
tactile3-da-final-040,40,accept_existing_labels,medium,existing boxes cover the main broken area and nearby small chips,,
tactile3-da-final-041,41,accept_existing_labels,high,central hole and surrounding crack boxes are clearly valid,,
tactile3-da-final-042,42,accept_existing_labels,high,cracks and large chip align with existing GT boxes,,
tactile3-da-final-043,43,accept_existing_labels,high,vertical crack and small crack labels match visible damage,,
tactile3-da-final-044,44,fix_tactile_damage_area_bbox,medium,true damage remains but one boxed region appears debris and boxes need manual cleanup manual_bbox_required,,
tactile3-da-final-045,45,accept_existing_labels,medium,seam and edge defects are subtle but plausible tactile damage,,
tactile3-da-final-046,46,accept_existing_labels,medium,crack and edge spall labels are mostly plausible despite debris,,
tactile3-da-final-047,47,exclude_unclear,low,labels follow joints and dirt so damage versus normal seam is unclear,,
tactile3-da-final-048,48,accept_existing_labels,medium,right edge spall and abrasion labels match visible damage,,
tactile3-da-final-049,49,fix_tactile_damage_area_bbox,medium,manual_bbox_required central crack is valid but top and lower seam boxes look false,,
tactile3-da-final-050,50,accept_existing_labels,high,major missing patch and rib chips align with GT boxes,,
tactile3-da-final-051,51,remove_false_damage_area_label,high,GT boxes cover normal joint and intact tile rather than damage,,yes
tactile3-da-final-052,52,accept_existing_labels,medium,small edge chips and matched worn patch are plausible,,
